# epsilon=1e-4, max epochs=100

Lerning rate: 0.01
Batch size: 50
-------------------
0 tensor(1.7202, device='cuda:0', grad_fn=<DivBackward0>)
1 tensor(1.6130, device='cuda:0', grad_fn=<DivBackward0>)
2 tensor(1.5655, device='cuda:0', grad_fn=<DivBackward0>)
3 tensor(1.5288, device='cuda:0', grad_fn=<DivBackward0>)
4 tensor(1.4947, device='cuda:0', grad_fn=<DivBackward0>)
5 tensor(1.4643, device='cuda:0', grad_fn=<DivBackward0>)
6 tensor(1.4327, device='cuda:0', grad_fn=<DivBackward0>)
7 tensor(1.4053, device='cuda:0', grad_fn=<DivBackward0>)
8 tensor(1.3770, device='cuda:0', grad_fn=<DivBackward0>)
9 tensor(1.3516, device='cuda:0', grad_fn=<DivBackward0>)
10 tensor(1.3256, device='cuda:0', grad_fn=<DivBackward0>)
11 tensor(1.2979, device='cuda:0', grad_fn=<DivBackward0>)
12 tensor(1.2721, device='cuda:0', grad_fn=<DivBackward0>)
13 tensor(1.2467, device='cuda:0', grad_fn=<DivBackward0>)
14 tensor(1.2212, device='cuda:0', grad_fn=<DivBackward0>)
15 tensor(1.1985, device='cuda:0', grad_fn=<DivBackward0>)
16 tensor(1.1717, device='cuda:0', grad_fn=<DivBackward0>)
17 tensor(1.1477, device='cuda:0', grad_fn=<DivBackward0>)
18 tensor(1.1262, device='cuda:0', grad_fn=<DivBackward0>)
19 tensor(1.1009, device='cuda:0', grad_fn=<DivBackward0>)
20 tensor(1.0752, device='cuda:0', grad_fn=<DivBackward0>)
21 tensor(1.0547, device='cuda:0', grad_fn=<DivBackward0>)
22 tensor(1.0342, device='cuda:0', grad_fn=<DivBackward0>)
23 tensor(1.0103, device='cuda:0', grad_fn=<DivBackward0>)
24 tensor(0.9890, device='cuda:0', grad_fn=<DivBackward0>)
25 tensor(0.9669, device='cuda:0', grad_fn=<DivBackward0>)
26 tensor(0.9412, device='cuda:0', grad_fn=<DivBackward0>)
27 tensor(0.9211, device='cuda:0', grad_fn=<DivBackward0>)
28 tensor(0.9020, device='cuda:0', grad_fn=<DivBackward0>)
