cuda
(19376, 2304)
(6459, 2304)
Learning rate: 0.01
Batch size: 50
-------------------
0 tensor(1.9012, device='cuda:0', grad_fn=<DivBackward0>)
1 tensor(1.8336, device='cuda:0', grad_fn=<DivBackward0>)
2 tensor(1.8007, device='cuda:0', grad_fn=<DivBackward0>)
3 tensor(1.7798, device='cuda:0', grad_fn=<DivBackward0>)
4 tensor(1.7644, device='cuda:0', grad_fn=<DivBackward0>)
5 tensor(1.7517, device='cuda:0', grad_fn=<DivBackward0>)
6 tensor(1.7392, device='cuda:0', grad_fn=<DivBackward0>)
7 tensor(1.7263, device='cuda:0', grad_fn=<DivBackward0>)
8 tensor(1.7129, device='cuda:0', grad_fn=<DivBackward0>)
9 tensor(1.6990, device='cuda:0', grad_fn=<DivBackward0>)
10 tensor(1.6857, device='cuda:0', grad_fn=<DivBackward0>)
11 tensor(1.6731, device='cuda:0', grad_fn=<DivBackward0>)
12 tensor(1.6612, device='cuda:0', grad_fn=<DivBackward0>)
13 tensor(1.6511, device='cuda:0', grad_fn=<DivBackward0>)
14 tensor(1.6414, device='cuda:0', grad_fn=<DivBackward0>)
15 tensor(1.6330, device='cuda:0', grad_fn=<DivBackward0>)
16 tensor(1.6254, device='cuda:0', grad_fn=<DivBackward0>)
17 tensor(1.6185, device='cuda:0', grad_fn=<DivBackward0>)
18 tensor(1.6117, device='cuda:0', grad_fn=<DivBackward0>)
19 tensor(1.6059, device='cuda:0', grad_fn=<DivBackward0>)
20 tensor(1.5998, device='cuda:0', grad_fn=<DivBackward0>)
21 tensor(1.5941, device='cuda:0', grad_fn=<DivBackward0>)
22 tensor(1.5885, device='cuda:0', grad_fn=<DivBackward0>)
23 tensor(1.5834, device='cuda:0', grad_fn=<DivBackward0>)
24 tensor(1.5787, device='cuda:0', grad_fn=<DivBackward0>)
25 tensor(1.5734, device='cuda:0', grad_fn=<DivBackward0>)
26 tensor(1.5685, device='cuda:0', grad_fn=<DivBackward0>)
27 tensor(1.5636, device='cuda:0', grad_fn=<DivBackward0>)
28 tensor(1.5588, device='cuda:0', grad_fn=<DivBackward0>)
29 tensor(1.5542, device='cuda:0', grad_fn=<DivBackward0>)
30 tensor(1.5495, device='cuda:0', grad_fn=<DivBackward0>)
31 tensor(1.5448, device='cuda:0', grad_fn=<DivBackward0>)
32 tensor(1.5401, device='cuda:0', grad_fn=<DivBackward0>)
33 tensor(1.5355, device='cuda:0', grad_fn=<DivBackward0>)
34 tensor(1.5306, device='cuda:0', grad_fn=<DivBackward0>)
35 tensor(1.5263, device='cuda:0', grad_fn=<DivBackward0>)
36 tensor(1.5215, device='cuda:0', grad_fn=<DivBackward0>)
37 tensor(1.5168, device='cuda:0', grad_fn=<DivBackward0>)
38 tensor(1.5122, device='cuda:0', grad_fn=<DivBackward0>)
39 tensor(1.5078, device='cuda:0', grad_fn=<DivBackward0>)
40 tensor(1.5034, device='cuda:0', grad_fn=<DivBackward0>)
41 tensor(1.4986, device='cuda:0', grad_fn=<DivBackward0>)
42 tensor(1.4943, device='cuda:0', grad_fn=<DivBackward0>)
43 tensor(1.4895, device='cuda:0', grad_fn=<DivBackward0>)
44 tensor(1.4851, device='cuda:0', grad_fn=<DivBackward0>)
45 tensor(1.4804, device='cuda:0', grad_fn=<DivBackward0>)
46 tensor(1.4759, device='cuda:0', grad_fn=<DivBackward0>)
47 tensor(1.4715, device='cuda:0', grad_fn=<DivBackward0>)
48 tensor(1.4668, device='cuda:0', grad_fn=<DivBackward0>)
49 tensor(1.4623, device='cuda:0', grad_fn=<DivBackward0>)
50 tensor(1.4577, device='cuda:0', grad_fn=<DivBackward0>)
51 tensor(1.4533, device='cuda:0', grad_fn=<DivBackward0>)
52 tensor(1.4486, device='cuda:0', grad_fn=<DivBackward0>)
53 tensor(1.4443, device='cuda:0', grad_fn=<DivBackward0>)
54 tensor(1.4402, device='cuda:0', grad_fn=<DivBackward0>)
55 tensor(1.4353, device='cuda:0', grad_fn=<DivBackward0>)
56 tensor(1.4312, device='cuda:0', grad_fn=<DivBackward0>)
57 tensor(1.4262, device='cuda:0', grad_fn=<DivBackward0>)
58 tensor(1.4216, device='cuda:0', grad_fn=<DivBackward0>)
59 tensor(1.4173, device='cuda:0', grad_fn=<DivBackward0>)
60 tensor(1.4122, device='cuda:0', grad_fn=<DivBackward0>)
61 tensor(1.4078, device='cuda:0', grad_fn=<DivBackward0>)
62 tensor(1.4035, device='cuda:0', grad_fn=<DivBackward0>)
63 tensor(1.3988, device='cuda:0', grad_fn=<DivBackward0>)
64 tensor(1.3939, device='cuda:0', grad_fn=<DivBackward0>)
