cuda
(19376, 2304)
(6459, 2304)
(19376, 1296)
Learning rate: 0.01
Batch size: 100
-------------------
0 tensor(1.8848, device='cuda:0', grad_fn=<DivBackward0>)
1 tensor(1.8286, device='cuda:0', grad_fn=<DivBackward0>)
2 tensor(1.8099, device='cuda:0', grad_fn=<DivBackward0>)
3 tensor(1.8003, device='cuda:0', grad_fn=<DivBackward0>)
4 tensor(1.7932, device='cuda:0', grad_fn=<DivBackward0>)
5 tensor(1.7862, device='cuda:0', grad_fn=<DivBackward0>)
6 tensor(1.7786, device='cuda:0', grad_fn=<DivBackward0>)
7 tensor(1.7699, device='cuda:0', grad_fn=<DivBackward0>)
8 tensor(1.7598, device='cuda:0', grad_fn=<DivBackward0>)
9 tensor(1.7483, device='cuda:0', grad_fn=<DivBackward0>)
10 tensor(1.7356, device='cuda:0', grad_fn=<DivBackward0>)
11 tensor(1.7216, device='cuda:0', grad_fn=<DivBackward0>)
12 tensor(1.7070, device='cuda:0', grad_fn=<DivBackward0>)
13 tensor(1.6919, device='cuda:0', grad_fn=<DivBackward0>)
14 tensor(1.6769, device='cuda:0', grad_fn=<DivBackward0>)
15 tensor(1.6622, device='cuda:0', grad_fn=<DivBackward0>)
16 tensor(1.6483, device='cuda:0', grad_fn=<DivBackward0>)
17 tensor(1.6356, device='cuda:0', grad_fn=<DivBackward0>)
18 tensor(1.6235, device='cuda:0', grad_fn=<DivBackward0>)
19 tensor(1.6123, device='cuda:0', grad_fn=<DivBackward0>)
20 tensor(1.6021, device='cuda:0', grad_fn=<DivBackward0>)
21 tensor(1.5928, device='cuda:0', grad_fn=<DivBackward0>)
22 tensor(1.5844, device='cuda:0', grad_fn=<DivBackward0>)
23 tensor(1.5769, device='cuda:0', grad_fn=<DivBackward0>)
24 tensor(1.5696, device='cuda:0', grad_fn=<DivBackward0>)
25 tensor(1.5632, device='cuda:0', grad_fn=<DivBackward0>)
26 tensor(1.5570, device='cuda:0', grad_fn=<DivBackward0>)
27 tensor(1.5515, device='cuda:0', grad_fn=<DivBackward0>)
28 tensor(1.5464, device='cuda:0', grad_fn=<DivBackward0>)
29 tensor(1.5415, device='cuda:0', grad_fn=<DivBackward0>)
30 tensor(1.5370, device='cuda:0', grad_fn=<DivBackward0>)
31 tensor(1.5330, device='cuda:0', grad_fn=<DivBackward0>)
32 tensor(1.5290, device='cuda:0', grad_fn=<DivBackward0>)
33 tensor(1.5254, device='cuda:0', grad_fn=<DivBackward0>)
34 tensor(1.5220, device='cuda:0', grad_fn=<DivBackward0>)
35 tensor(1.5185, device='cuda:0', grad_fn=<DivBackward0>)
36 tensor(1.5156, device='cuda:0', grad_fn=<DivBackward0>)
