cuda
(19376, 2304)
(6459, 2304)
Learning rate: 0.01
Batch size: 100
-------------------
0 tensor(1.8921, device='cuda:0', grad_fn=<DivBackward0>)
1 tensor(1.7496, device='cuda:0', grad_fn=<DivBackward0>)
2 tensor(1.6603, device='cuda:0', grad_fn=<DivBackward0>)
3 tensor(1.5845, device='cuda:0', grad_fn=<DivBackward0>)
4 tensor(1.5184, device='cuda:0', grad_fn=<DivBackward0>)
5 tensor(1.4570, device='cuda:0', grad_fn=<DivBackward0>)
6 tensor(1.4021, device='cuda:0', grad_fn=<DivBackward0>)
7 tensor(1.3423, device='cuda:0', grad_fn=<DivBackward0>)
8 tensor(1.2894, device='cuda:0', grad_fn=<DivBackward0>)
9 tensor(1.2365, device='cuda:0', grad_fn=<DivBackward0>)
10 tensor(1.1816, device='cuda:0', grad_fn=<DivBackward0>)
11 tensor(1.1296, device='cuda:0', grad_fn=<DivBackward0>)
12 tensor(1.0728, device='cuda:0', grad_fn=<DivBackward0>)
13 tensor(1.0244, device='cuda:0', grad_fn=<DivBackward0>)
14 tensor(0.9778, device='cuda:0', grad_fn=<DivBackward0>)
15 tensor(0.9275, device='cuda:0', grad_fn=<DivBackward0>)
16 tensor(0.8778, device='cuda:0', grad_fn=<DivBackward0>)
17 tensor(0.8245, device='cuda:0', grad_fn=<DivBackward0>)
18 tensor(0.7867, device='cuda:0', grad_fn=<DivBackward0>)
19 tensor(0.7385, device='cuda:0', grad_fn=<DivBackward0>)
20 tensor(0.6997, device='cuda:0', grad_fn=<DivBackward0>)
21 tensor(0.6540, device='cuda:0', grad_fn=<DivBackward0>)
22 tensor(0.6239, device='cuda:0', grad_fn=<DivBackward0>)
23 tensor(0.5913, device='cuda:0', grad_fn=<DivBackward0>)
24 tensor(0.5504, device='cuda:0', grad_fn=<DivBackward0>)
25 tensor(0.5173, device='cuda:0', grad_fn=<DivBackward0>)
26 tensor(0.4904, device='cuda:0', grad_fn=<DivBackward0>)
27 tensor(0.4595, device='cuda:0', grad_fn=<DivBackward0>)
28 tensor(0.4292, device='cuda:0', grad_fn=<DivBackward0>)
29 tensor(0.4031, device='cuda:0', grad_fn=<DivBackward0>)
30 tensor(0.3805, device='cuda:0', grad_fn=<DivBackward0>)
31 tensor(0.3595, device='cuda:0', grad_fn=<DivBackward0>)
32 tensor(0.3363, device='cuda:0', grad_fn=<DivBackward0>)
33 tensor(0.3250, device='cuda:0', grad_fn=<DivBackward0>)
34 tensor(0.2959, device='cuda:0', grad_fn=<DivBackward0>)
35 tensor(0.2863, device='cuda:0', grad_fn=<DivBackward0>)
36 tensor(0.2677, device='cuda:0', grad_fn=<DivBackward0>)
37 tensor(0.2470, device='cuda:0', grad_fn=<DivBackward0>)
38 tensor(0.2406, device='cuda:0', grad_fn=<DivBackward0>)
39 tensor(0.2280, device='cuda:0', grad_fn=<DivBackward0>)
40 tensor(0.2167, device='cuda:0', grad_fn=<DivBackward0>)
41 tensor(0.2023, device='cuda:0', grad_fn=<DivBackward0>)
42 tensor(0.1935, device='cuda:0', grad_fn=<DivBackward0>)
43 tensor(0.1827, device='cuda:0', grad_fn=<DivBackward0>)
44 tensor(0.1800, device='cuda:0', grad_fn=<DivBackward0>)
45 tensor(0.1655, device='cuda:0', grad_fn=<DivBackward0>)
46 tensor(0.1521, device='cuda:0', grad_fn=<DivBackward0>)
47 tensor(0.1492, device='cuda:0', grad_fn=<DivBackward0>)
48 tensor(0.1420, device='cuda:0', grad_fn=<DivBackward0>)
49 tensor(0.1322, device='cuda:0', grad_fn=<DivBackward0>)
50 tensor(0.1272, device='cuda:0', grad_fn=<DivBackward0>)
51 tensor(0.1230, device='cuda:0', grad_fn=<DivBackward0>)
52 tensor(0.1203, device='cuda:0', grad_fn=<DivBackward0>)
53 tensor(0.1125, device='cuda:0', grad_fn=<DivBackward0>)
54 tensor(0.1064, device='cuda:0', grad_fn=<DivBackward0>)
55 tensor(0.1041, device='cuda:0', grad_fn=<DivBackward0>)
56 tensor(0.1018, device='cuda:0', grad_fn=<DivBackward0>)
57 tensor(0.0936, device='cuda:0', grad_fn=<DivBackward0>)
58 tensor(0.0917, device='cuda:0', grad_fn=<DivBackward0>)
59 tensor(0.0914, device='cuda:0', grad_fn=<DivBackward0>)
60 tensor(0.0928, device='cuda:0', grad_fn=<DivBackward0>)
61 tensor(0.0832, device='cuda:0', grad_fn=<DivBackward0>)
62 tensor(0.0765, device='cuda:0', grad_fn=<DivBackward0>)
63 tensor(0.0740, device='cuda:0', grad_fn=<DivBackward0>)
64 tensor(0.0770, device='cuda:0', grad_fn=<DivBackward0>)
65 tensor(0.0722, device='cuda:0', grad_fn=<DivBackward0>)
66 tensor(0.0676, device='cuda:0', grad_fn=<DivBackward0>)
67 tensor(0.0645, device='cuda:0', grad_fn=<DivBackward0>)
68 tensor(0.0623, device='cuda:0', grad_fn=<DivBackward0>)
69 tensor(0.0568, device='cuda:0', grad_fn=<DivBackward0>)
70 tensor(0.0615, device='cuda:0', grad_fn=<DivBackward0>)
71 tensor(0.0571, device='cuda:0', grad_fn=<DivBackward0>)
72 tensor(0.0587, device='cuda:0', grad_fn=<DivBackward0>)
73 tensor(0.0545, device='cuda:0', grad_fn=<DivBackward0>)
74 tensor(0.0516, device='cuda:0', grad_fn=<DivBackward0>)
75 tensor(0.0492, device='cuda:0', grad_fn=<DivBackward0>)
76 tensor(0.0463, device='cuda:0', grad_fn=<DivBackward0>)
